"","well","condition","sample","detector","task","ct","avg_ct","ct_sd","delta_ct","qty","avg_qty","qty_sd"
"1","0","H2O","control","HPRT","Target","32.35768","30.778801",2.232874,NA,NA,NA,NA
"2","1","H2O","control","HPRT","Target","29.19992","30.778801",2.232874,NA,NA,NA,NA
"3","2","H2O","control","HPRT","Target","40","30.778801",2.232874,NA,NA,NA,NA
"4","3","H2O","control","AXIN","Target","35.90296","35.90296",NA,NA,NA,NA,NA
"5","4","H2O","control","AXIN","Target","40","35.90296",NA,NA,NA,NA,NA
"6","5","H2O","control","AXIN","Target","40","35.90296",NA,NA,NA,NA,NA
"7","6","H2O","control","THSB1","Target","29.896479","28.69675",7.423281,NA,NA,NA,NA
"8","7","H2O","control","THSB1","Target","30.970982","28.69675",7.423281,NA,NA,NA,NA
"9","8","H2O","control","THSB1","Target","29.836586","28.69675",7.423281,NA,NA,NA,NA
"10","9","H2O","control","ANGP2","Target","40","7.786043",9.384066,NA,NA,NA,NA
"11","10","H2O","control","ANGP2","Target","40","7.786043",9.384066,NA,NA,NA,NA
"12","11","H2O","control","ANGP2","Target","40","7.786043",9.384066,NA,NA,NA,NA
"13","24","Static","Control","HPRT","Target","32.77672","34.94846",2.2975228,NA,NA,NA,NA
"14","25","Static","Control","HPRT","Target","34.714764","34.94846",2.2975228,NA,NA,NA,NA
"15","26","Static","Control","HPRT","Target","37.3539","34.94846",2.2975228,NA,NA,NA,NA
"16","27","Static","Control","AXIN","Target","25.584724","27.135223",1.9434348,NA,NA,NA,NA
"17","28","Static","Control","AXIN","Target","26.505516","27.135223",1.9434348,NA,NA,NA,NA
"18","29","Static","Control","AXIN","Target","29.31543","27.135223",1.9434348,NA,NA,NA,NA
"19","30","Static","Control","THSB1","Target","40","15.077974",2.1531813,NA,NA,NA,NA
"20","31","Static","Control","THSB1","Target","13.555446","15.077974",2.1531813,NA,NA,NA,NA
"21","32","Static","Control","THSB1","Target","16.600504","15.077974",2.1531813,NA,NA,NA,NA
"22","33","Static","Control","ANGP2","Target","25.094212","26.68248",1.7436807,NA,NA,NA,NA
"23","34","Static","Control","ANGP2","Target","26.40494","26.68248",1.7436807,NA,NA,NA,NA
"24","35","Static","Control","ANGP2","Target","28.548283","26.68248",1.7436807,NA,NA,NA,NA
"25","36","Static","Drug","HPRT","Target","40","37.43412",1.4560179,NA,NA,NA,NA
"26","37","Static","Drug","HPRT","Target","36.40456","37.43412",1.4560179,NA,NA,NA,NA
"27","38","Static","Drug","HPRT","Target","38.46368","37.43412",1.4560179,NA,NA,NA,NA
"28","39","Static","Drug","AXIN","Target","25.072416","26.696854",1.5044255,NA,NA,NA,NA
"29","40","Static","Drug","AXIN","Target","26.97597","26.696854",1.5044255,NA,NA,NA,NA
"30","41","Static","Drug","AXIN","Target","28.042175","26.696854",1.5044255,NA,NA,NA,NA
"31","42","Static","Drug","THSB1","Target","12.915579","13.528426",0.75897807,NA,NA,NA,NA
"32","43","Static","Drug","THSB1","Target","13.292298","13.528426",0.75897807,NA,NA,NA,NA
"33","44","Static","Drug","THSB1","Target","14.3774","13.528426",0.75897807,NA,NA,NA,NA
"34","45","Static","Drug","ANGP2","Target","24.359356","26.797989",2.4792902,NA,NA,NA,NA
"35","46","Static","Drug","ANGP2","Target","26.718584","26.797989",2.4792902,NA,NA,NA,NA
"36","47","Static","Drug","ANGP2","Target","29.316029","26.797989",2.4792902,NA,NA,NA,NA
"37","48","Orbital","Control","HPRT","Target","34.407692","34.350445",2.698726,NA,NA,NA,NA
"38","49","Orbital","Control","HPRT","Target","33.325718","34.350445",2.698726,NA,NA,NA,NA
"39","50","Orbital","Control","HPRT","Target","36.947857","34.350445",2.698726,NA,NA,NA,NA
"40","51","Orbital","Control","AXIN","Target","27.242186","28.90642",1.5185088,NA,NA,NA,NA
"41","52","Orbital","Control","AXIN","Target","28.186743","28.90642",1.5185088,NA,NA,NA,NA
"42","53","Orbital","Control","AXIN","Target","30.595535","28.90642",1.5185088,NA,NA,NA,NA
"43","54","Orbital","Control","THSB1","Target","14.971646","16.912888",2.1048684,NA,NA,NA,NA
"44","55","Orbital","Control","THSB1","Target","15.724793","16.912888",2.1048684,NA,NA,NA,NA
"45","56","Orbital","Control","THSB1","Target","17.415792","16.912888",2.1048684,NA,NA,NA,NA
"46","57","Orbital","Control","ANGP2","Target","29.239866","30.912447",1.681703,NA,NA,NA,NA
"47","58","Orbital","Control","ANGP2","Target","29.584702","30.912447",1.681703,NA,NA,NA,NA
"48","59","Orbital","Control","ANGP2","Target","31.850018","30.912447",1.681703,NA,NA,NA,NA
"49","60","Orbital","Control","HPRT","Target","40","34.350445",2.698726,NA,NA,NA,NA
"50","61","Orbital","Control","HPRT","Target","36.6981","34.350445",2.698726,NA,NA,NA,NA
"51","62","Orbital","Control","HPRT","Target","30.37287","34.350445",2.698726,NA,NA,NA,NA
"52","63","Orbital","Control","AXIN","Target","27.721977","28.90642",1.5185088,NA,NA,NA,NA
"53","64","Orbital","Control","AXIN","Target","28.792496","28.90642",1.5185088,NA,NA,NA,NA
"54","65","Orbital","Control","AXIN","Target","30.899593","28.90642",1.5185088,NA,NA,NA,NA
"55","66","Orbital","Control","THSB1","Target","15.865755","16.912888",2.1048684,NA,NA,NA,NA
"56","67","Orbital","Control","THSB1","Target","16.643076","16.912888",2.1048684,NA,NA,NA,NA
"57","68","Orbital","Control","THSB1","Target","20.856258","16.912888",2.1048684,NA,NA,NA,NA
"58","69","Orbital","Control","ANGP2","Target","30.20996","30.912447",1.681703,NA,NA,NA,NA
