Timestamp	Sample	Block	Cover
1645729132483	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.6,26.6,26.6	34.4
1645729134145	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	35.0
1645729135159	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	35.3
1645729136147	26.6,26.6,26.7,26.6,26.6,26.6	26.6,26.6,26.7,26.6,26.6,26.6	35.9
1645729137146	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	36.3
1645729138145	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	36.7
1645729139147	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	37.1
1645729140145	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	37.6
1645729141146	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	38.0
1645729142146	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	38.5
1645729143144	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	39.0
1645729144146	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	39.4
1645729145147	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	39.9
1645729146144	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	40.4
1645729147146	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	40.9
1645729148144	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	41.3
1645729149146	26.6,26.6,26.7,26.5,26.6,26.6	26.6,26.6,26.7,26.5,26.6,26.6	41.7
