Well	Sample Name	Detector	Task	Ct	Avg Ct	Ct SD	Delta Ct	Qty	Avg Qty	Qty SD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	H2O control	HPRT	Target	32.35768	30.778801	2.232874																																		
Rn values	-0.30265403	-0.28893477	-0.28194356	-0.2756817	-0.27329907	-0.26718527	-0.26591522	-0.26392555	-0.2598356	-0.25852907	-0.25800267	-0.25537962	-0.25349948	-0.25285494	-0.2504463	-0.24552663	-0.24128586	-0.23954475	-0.24012999	-0.23938535	-0.2396542	-0.23605226	-0.23578165	-0.23662014	-0.23839326	-0.23658752	-0.2337047	-0.23209526	-0.229646	-0.22446467	-0.21824038	-0.2090711	-0.1970155	-0.17483564	-0.1338357	-0.062207412	0.060791984	0.2606286	0.55359143	0.8897518
Delta Rn values	-0.025679009	-0.013788768	-0.008626579	-0.004193744	-0.003640126	6.45E-04	8.57E-05	2.46E-04	0.002507265	0.001984779	6.82E-04	0.001476191	0.001527311	3.43E-04	9.22E-04	0.004013105	0.006424852	0.006336944	0.003922682	0.002838304	7.40E-04	0.002513357	9.55E-04	-0.001712564	-0.005314702	-0.005337984	-0.00428418	-0.004503754	-0.003883514	-5.31E-04	0.003864065	0.011204327	0.021430913	0.04178175	0.08095267	0.15075193	0.27192232	0.46992993	0.7610637	1.0953951
DDCT Values	0		H2O control	HPRT	Target	32.35768									FALSE																									
1	H2O control	HPRT	Target	29.19992	30.778801	2.232874																																		
Rn values	-0.25450578	-0.24900362	-0.245755	-0.23704413	-0.23781288	-0.23477556	-0.23216908	-0.22828855	-0.22861886	-0.23036566	-0.22985262	-0.22907159	-0.23136547	-0.23911498	-0.2376457	-0.23667246	-0.23776336	-0.23454465	-0.23445715	-0.23824988	-0.23436986	-0.23340479	-0.2361135	-0.23196754	-0.23125452	-0.23273243	-0.2292989	-0.22079019	-0.21809953	-0.20945704	-0.19621801	-0.17650862	-0.1424477	-0.08309283	0.029537715	0.21347766	0.5008894	0.865267	1.2074186	1.396847
Delta Rn values	-0.016747307	-0.011560896	-0.008628031	-2.33E-04	-0.001317413	0.001404153	0.003694881	0.007259659	0.006613591	0.004551034	0.004748329	0.005213605	0.002603967	-0.005461299	-0.004307768	-0.003650282	-0.005056934	-0.002153977	-0.00238223	-0.006490716	-0.002926446	-0.002277125	-0.005301597	-0.001471385	-0.001074117	-0.002867783	2.50E-04	0.008442949	0.010817854	0.019144595	0.03206787	0.051461507	0.08520668	0.14424579	0.2565606	0.44018477	0.7272808	1.0913426	1.4331784	1.6222911
DDCT Values	1		H2O control	HPRT	Target	29.19992									FALSE																									
2	H2O control	HPRT	Target	40	30.778801	2.232874																																		
Rn values	-0.16689253	-0.15758558	-0.14750068	-0.14276518	-0.14242336	-0.14405233	-0.14481315	-0.14589663	-0.1438405	-0.14520186	-0.14396968	-0.14576852	-0.1464819	-0.14429133	-0.14486349	-0.14533569	-0.14408194	-0.14395283	-0.14322984	-0.1426806	-0.1434919	-0.14348552	-0.14307934	-0.14236842	-0.14053953	-0.14105713	-0.13732688	-0.13477391	-0.13281605	-0.1298256	-0.12635869	-0.12313194	-0.1190025	-0.11173075	-0.10805372	-0.10416995	-0.09776496	-0.093035124	-0.08574512	-0.07918146
Delta Rn values	-0.007500692	5.38E-04	0.009354425	0.012821557	0.011895008	0.008997676	0.006968486	0.004616641	0.005404396	0.002774674	0.002738484	-3.29E-04	-0.002310466	-0.001388258	-0.003228785	-0.004969354	-0.004983967	-0.00612323	-0.006668608	-0.007387733	-0.009467393	-0.010729382	-0.011591573	-0.01214902	-0.011588493	-0.013374466	-0.010912581	-0.009627976	-0.00893848	-0.007216407	-0.005017855	-0.003059472	-1.98E-04	0.005804986	0.008213645	0.010829049	0.01596567	0.019427141	0.02544878	0.03074407
DDCT Values	2		H2O control	HPRT	Target	40									FALSE																									
3	H2O control	AXIN	Target	35.90296	35.90296																																			
Rn values	-0.2226427	-0.20829584	-0.19917993	-0.19536413	-0.19184184	-0.19225721	-0.19169621	-0.19484307	-0.19394054	-0.19450958	-0.19551782	-0.1943495	-0.19409704	-0.19460633	-0.19522917	-0.19417313	-0.19435045	-0.19527976	-0.19428363	-0.19379354	-0.19471641	-0.19483379	-0.19371523	-0.19445366	-0.1942371	-0.19287704	-0.19379537	-0.1929819	-0.19097683	-0.1893551	-0.18423975	-0.1750355	-0.15536796	-0.118907325	-0.050479643	0.08032253	0.30216312	0.5946239	0.88109857	1.1394285
Delta Rn values	-0.026691252	-0.01248899	-0.003517691	1.54E-04	0.003531189	0.002971213	0.003387607	9.61E-05	8.54E-04	1.40E-04	-0.001012428	1.13E-05	1.19E-04	-5.35E-04	-0.001302201	-3.91E-04	-7.13E-04	-0.001786607	-9.35E-04	-5.90E-04	-0.001657071	-0.001919054	-9.45E-04	-0.001828137	-0.001756184	-5.41E-04	-0.001603665	-9.35E-04	9.26E-04	0.00240278	0.007373535	0.016433168	0.03595611	0.07227214	0.14055522	0.2712128	0.49290878	0.785225	1.071555	1.3297403
Study Values	35.90296173	AXIN	H2O control																																					
Study Stat Values	cle	5.124160767	 	 	 																																			
Study RQ Values	H2O control	1	 	 	0	0																																		
DDCT Values	3		H2O control	AXIN	Target	35.90296		5.124161			0	1			FALSE	0																								
4	H2O control	AXIN	Target	40	35.90296																																			
