Primer,Condition,Location,Ct,Avg Ct,HPRT,Avg HPRT,dCt,ddCt,Fold Change,Ct Sd,SEM ddCT,Fold SEM
ANGPT2,Control,Centre,30.2100,31.6000,NA,33.5355,-1.9355,2.7334,0.1504,1.9083,1.1017,0.0920
ANGPT2,Control,Centre,30.8145,31.6000,36.6981,33.5355,-1.9355,2.7334,0.1504,1.9083,1.1017,0.0920
ANGPT2,Control,Centre,33.7757,31.6000,30.3729,33.5355,-1.9355,2.7334,0.1504,1.9083,1.1017,0.0920
ANGPT2,Control,Periphery,29.2399,30.2249,34.4077,34.8938,-4.6689,0.0000,1.0000,1.4179,0.8187,0.3307
ANGPT2,Control,Periphery,29.5847,30.2249,33.3257,34.8938,-4.6689,0.0000,1.0000,1.4179,0.8187,0.3307
ANGPT2,Control,Periphery,31.8500,30.2249,36.9479,34.8938,-4.6689,0.0000,1.0000,1.4179,0.8187,0.3307
ANGPT2,Control,Static,25.0942,26.6825,32.7767,34.9485,-8.2660,-3.5971,12.1012,1.7437,1.0067,6.1354
ANGPT2,Control,Static,26.4049,26.6825,34.7148,34.9485,-8.2660,-3.5971,12.1012,1.7437,1.0067,6.1354
ANGPT2,Control,Static,28.5483,26.6825,37.3539,34.9485,-8.2660,-3.5971,12.1012,1.7437,1.0067,6.1354
AXIN2,Control,Centre,27.7220,29.1380,NA,33.5355,-4.3975,1.8215,0.2829,1.6167,0.9334,0.1226
AXIN2,Control,Centre,28.7925,29.1380,36.6981,33.5355,-4.3975,1.8215,0.2829,1.6167,0.9334,0.1226
AXIN2,Control,Centre,30.8996,29.1380,30.3729,33.5355,-4.3975,1.8215,0.2829,1.6167,0.9334,0.1226
AXIN2,Control,Periphery,27.2422,28.6748,34.4077,34.8938,-6.2189,0.0000,1.0000,1.7291,0.9983,0.4983
AXIN2,Control,Periphery,28.1867,28.6748,33.3257,34.8938,-6.2189,0.0000,1.0000,1.7291,0.9983,0.4983
AXIN2,Control,Periphery,30.5955,28.6748,36.9479,34.8938,-6.2189,0.0000,1.0000,1.7291,0.9983,0.4983
AXIN2,Control,Static,25.5847,27.1352,32.7767,34.9485,-7.8132,-1.5943,3.0195,1.9434,1.1220,1.9204
AXIN2,Control,Static,26.5055,27.1352,34.7148,34.9485,-7.8132,-1.5943,3.0195,1.9434,1.1220,1.9204
