Primer,Condition,Location,Ct,Avg Ct Control,Avg Ct,dCt,ddCt,Fold Change,Ct Sd,SEM ddCT,Fold SEM
ANGPT2,Control,Centre,30.2100,35.6903,31.6000,-4.0903,0.5786,0.6696,1.9083,1.1017,0.4099
ANGPT2,Control,Centre,30.8145,35.6903,31.6000,-4.0903,0.5786,0.6696,1.9083,1.1017,0.4099
ANGPT2,Control,Centre,33.7757,35.6903,31.6000,-4.0903,0.5786,0.6696,1.9083,1.1017,0.4099
ANGPT2,Control,Periphery,29.2399,34.8938,30.2249,-4.6689,0.0000,1.0000,1.4179,0.8187,0.3307
ANGPT2,Control,Periphery,29.5847,34.8938,30.2249,-4.6689,0.0000,1.0000,1.4179,0.8187,0.3307
ANGPT2,Control,Periphery,31.8500,34.8938,30.2249,-4.6689,0.0000,1.0000,1.4179,0.8187,0.3307
ANGPT2,Control,Static,25.0942,34.9485,26.6825,-8.2660,-3.5971,12.1013,1.7437,1.0067,6.1355
ANGPT2,Control,Static,26.4049,34.9485,26.6825,-8.2660,-3.5971,12.1013,1.7437,1.0067,6.1355
ANGPT2,Control,Static,28.5483,34.9485,26.6825,-8.2660,-3.5971,12.1013,1.7437,1.0067,6.1355
AXIN2,Control,Centre,27.7220,35.6903,29.1380,-6.5523,-0.3334,1.2600,1.6167,0.9334,0.5461
AXIN2,Control,Centre,28.7925,35.6903,29.1380,-6.5523,-0.3334,1.2600,1.6167,0.9334,0.5461
AXIN2,Control,Centre,30.8996,35.6903,29.1380,-6.5523,-0.3334,1.2600,1.6167,0.9334,0.5461
AXIN2,Control,Periphery,27.2422,34.8938,28.6748,-6.2189,0.0000,1.0000,1.7291,0.9983,0.4983
AXIN2,Control,Periphery,28.1867,34.8938,28.6748,-6.2189,0.0000,1.0000,1.7291,0.9983,0.4983
AXIN2,Control,Periphery,30.5955,34.8938,28.6748,-6.2189,0.0000,1.0000,1.7291,0.9983,0.4983
AXIN2,Control,Static,25.5847,34.9485,27.1352,-7.8132,-1.5943,3.0195,1.9434,1.1220,1.9204
AXIN2,Control,Static,26.5055,34.9485,27.1352,-7.8132,-1.5943,3.0195,1.9434,1.1220,1.9204
AXIN2,Control,Static,29.3154,34.9485,27.1352,-7.8132,-1.5943,3.0195,1.9434,1.1220,1.9204
THSB1,Control,Centre,15.8658,35.6903,17.7884,-17.9020,0.9544,0.5161,2.6852,1.5503,0.6555
THSB1,Control,Centre,16.6431,35.6903,17.7884,-17.9020,0.9544,0.5161,2.6852,1.5503,0.6555
THSB1,Control,Centre,20.8563,35.6903,17.7884,-17.9020,0.9544,0.5161,2.6852,1.5503,0.6555
THSB1,Control,Periphery,14.9716,34.8938,16.0374,-18.8563,0.0000,1.0000,1.2517,0.7227,0.2562
THSB1,Control,Periphery,15.7248,34.8938,16.0374,-18.8563,0.0000,1.0000,1.2517,0.7227,0.2562
THSB1,Control,Periphery,17.4158,34.8938,16.0374,-18.8563,0.0000,1.0000,1.2517,0.7227,0.2562
THSB1,Control,Static,NA,34.9485,15.0780,-19.8705,-1.0141,2.0197,2.1532,1.5225,2.4661
THSB1,Control,Static,13.5554,34.9485,15.0780,-19.8705,-1.0141,2.0197,2.1532,1.5225,2.4661
THSB1,Control,Static,16.6005,34.9485,15.0780,-19.8705,-1.0141,2.0197,2.1532,1.5225,2.4661
ANGPT2,Drug,Centre,26.8322,35.5642,28.5685,-6.9957,-2.3268,5.0169,1.6871,0.9741,2.3752
ANGPT2,Drug,Centre,28.6717,35.5642,28.5685,-6.9957,-2.3268,5.0169,1.6871,0.9741,2.3752
ANGPT2,Drug,Centre,30.2017,35.5642,28.5685,-6.9957,-2.3268,5.0169,1.6871,0.9741,2.3752
