Primer,Condition,Location,Ct,Avg Ct,HPRT,Avg HPRT,dCt,ddCt,Fold Change,Ct Sd,SEM ddCT,Fold SEM
ANGPT2,Control,Centre,30.2100,31.6000,NA,33.5355,-1.9355,6.3305,0.0124,1.9083,1.1017,0.0076
ANGPT2,Control,Centre,30.8145,31.6000,36.6981,33.5355,-1.9355,6.3305,0.0124,1.9083,1.1017,0.0076
ANGPT2,Control,Centre,33.7757,31.6000,30.3729,33.5355,-1.9355,6.3305,0.0124,1.9083,1.1017,0.0076
ANGPT2,Control,Periphery,29.2399,30.2249,34.4077,34.8938,-4.6689,3.5971,0.0826,1.4179,0.8187,0.0273
ANGPT2,Control,Periphery,29.5847,30.2249,33.3257,34.8938,-4.6689,3.5971,0.0826,1.4179,0.8187,0.0273
ANGPT2,Control,Periphery,31.8500,30.2249,36.9479,34.8938,-4.6689,3.5971,0.0826,1.4179,0.8187,0.0273
ANGPT2,Control,Static,25.0942,26.6825,32.7767,34.9485,-8.2660,0.0000,1.0000,1.7437,1.0067,0.5070
ANGPT2,Control,Static,26.4049,26.6825,34.7148,34.9485,-8.2660,0.0000,1.0000,1.7437,1.0067,0.5070
ANGPT2,Control,Static,28.5483,26.6825,37.3539,34.9485,-8.2660,0.0000,1.0000,1.7437,1.0067,0.5070
AXIN2,Control,Centre,27.7220,29.1380,NA,33.5355,-4.3975,3.4158,0.0937,1.6167,0.9334,0.0406
AXIN2,Control,Centre,28.7925,29.1380,36.6981,33.5355,-4.3975,3.4158,0.0937,1.6167,0.9334,0.0406
AXIN2,Control,Centre,30.8996,29.1380,30.3729,33.5355,-4.3975,3.4158,0.0937,1.6167,0.9334,0.0406
AXIN2,Control,Periphery,27.2422,28.6748,34.4077,34.8938,-6.2189,1.5943,0.3312,1.7291,0.9983,0.1650
AXIN2,Control,Periphery,28.1867,28.6748,33.3257,34.8938,-6.2189,1.5943,0.3312,1.7291,0.9983,0.1650
AXIN2,Control,Periphery,30.5955,28.6748,36.9479,34.8938,-6.2189,1.5943,0.3312,1.7291,0.9983,0.1650
AXIN2,Control,Static,25.5847,27.1352,32.7767,34.9485,-7.8132,0.0000,1.0000,1.9434,1.1220,0.6360
AXIN2,Control,Static,26.5055,27.1352,34.7148,34.9485,-7.8132,0.0000,1.0000,1.9434,1.1220,0.6360
AXIN2,Control,Static,29.3154,27.1352,37.3539,34.9485,-7.8132,0.0000,1.0000,1.9434,1.1220,0.6360
THBS1,Control,Centre,15.8658,17.7884,NA,33.5355,-15.7471,4.1234,0.0574,2.6852,1.5503,0.0729
THBS1,Control,Centre,16.6431,17.7884,36.6981,33.5355,-15.7471,4.1234,0.0574,2.6852,1.5503,0.0729
THBS1,Control,Centre,20.8563,17.7884,30.3729,33.5355,-15.7471,4.1234,0.0574,2.6852,1.5503,0.0729
THBS1,Control,Periphery,14.9716,16.0374,34.4077,34.8938,-18.8564,1.0141,0.4951,1.2517,0.7227,0.1269
THBS1,Control,Periphery,15.7248,16.0374,33.3257,34.8938,-18.8564,1.0141,0.4951,1.2517,0.7227,0.1269
THBS1,Control,Periphery,17.4158,16.0374,36.9479,34.8938,-18.8564,1.0141,0.4951,1.2517,0.7227,0.1269
THBS1,Control,Static,NA,15.0780,32.7767,34.9485,-19.8705,0.0000,1.0000,2.1532,1.5225,1.2210
THBS1,Control,Static,13.5554,15.0780,34.7148,34.9485,-19.8705,0.0000,1.0000,2.1532,1.5225,1.2210
THBS1,Control,Static,16.6005,15.0780,37.3539,34.9485,-19.8705,0.0000,1.0000,2.1532,1.5225,1.2210
ANGPT2,Drug,Centre,26.8322,28.5685,34.3277,35.5642,-6.9957,1.2703,0.4146,1.6871,0.9741,0.1963
ANGPT2,Drug,Centre,28.6717,28.5685,35.2797,35.5642,-6.9957,1.2703,0.4146,1.6871,0.9741,0.1963
ANGPT2,Drug,Centre,30.2017,28.5685,37.0853,35.5642,-6.9957,1.2703,0.4146,1.6871,0.9741,0.1963
ANGPT2,Drug,Periphery,30.7657,30.9237,NA,34.3292,-3.4055,4.8605,0.0344,1.4384,0.8305,0.0117
ANGPT2,Drug,Periphery,29.5708,30.9237,34.4952,34.3292,-3.4055,4.8605,0.0344,1.4384,0.8305,0.0117
ANGPT2,Drug,Periphery,32.4346,30.9237,34.1631,34.3292,-3.4055,4.8605,0.0344,1.4384,0.8305,0.0117
ANGPT2,Drug,Static,24.3594,26.7980,NA,37.4342,-10.6362,-2.3702,5.1700,2.4793,1.4314,5.5210
